[2021-04-23 21:01:06] main.CRITICAL: Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() {"exception":"[object] (Magento\\Framework\\Exception\\MailException(code: 0): Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() at C:\\xampp\\htdocs\\magento\\app\\code\\Magento\\Email\\Model\\Transport.php:103, Laminas\\Mail\\Transport\\Exception\\RuntimeException(code: 0): Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() at C:\\xampp\\htdocs\\magento\\vendor\\laminas\\laminas-mail\\src\\Transport\\Sendmail.php:306)"} []
[2021-05-02 17:56:37] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:56:37] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:57:03] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 17:57:03] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:04:10] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:04:11] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:04:12] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:04:58] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:05:00] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:05:00] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:05:27] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:05:27] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:05:28] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:35:55] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/sidebar-banner.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/sidebar-banner.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:35:57] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/advt-block2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/advt-block2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:36:57] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:36:58] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:36:59] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-3.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-3.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:02] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-4.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-4.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:03] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-5.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-5.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:04] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:05] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:06] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-6.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-6.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:07] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-7.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-7.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:08] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:11] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-8.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-8.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:13] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:14] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/slider/bizkick-home-banner-1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:16] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/americanexpress.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/americanexpress.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:17] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/discover.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/discover.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:24] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/maestro.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/maestro.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:25] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/master.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/master.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 18:37:26] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/visa.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/paymet/visa.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:26:50] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/sidebar-banner.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/sidebar-banner.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:26:51] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/advt-block2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/advt-block2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
