[2021-04-23 21:01:06] main.CRITICAL: Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() {"exception":"[object] (Magento\\Framework\\Exception\\MailException(code: 0): Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() at C:\\xampp\\htdocs\\magento\\app\\code\\Magento\\Email\\Model\\Transport.php:103, Laminas\\Mail\\Transport\\Exception\\RuntimeException(code: 0): Unable to send mail: mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() at C:\\xampp\\htdocs\\magento\\vendor\\laminas\\laminas-mail\\src\\Transport\\Sendmail.php:306)"} []
[2021-05-02 19:27:47] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-3.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-3.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:27:47] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:27:48] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:27:49] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-5.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-5.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:27:50] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-6.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-6.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:27:52] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-4.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-4.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:27:54] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-7.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-7.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:27:55] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-8.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/brand/brand-8.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:28:21] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch1.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:28:22] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch2.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
[2021-05-02 19:28:24] main.CRITICAL: Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\xampp\htdocs\magento\lib\internal\Magento\Framework\Image\Adapter\Gd2.php on line 63 {"exception":"[object] (Exception(code: 0): Warning: filesize(): stat failed for pub/media/wysiwyg/advertisement/bizkick-male-watch3.png in C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\Image\\Adapter\\Gd2.php on line 63 at C:\\xampp\\htdocs\\magento\\lib\\internal\\Magento\\Framework\\App\\ErrorHandler.php:61)"} []
